"Sign up & Get 10% off.","Sign up & Get 10% off."
"Register your email for news and special offers","Registre seu email para receber novidades e ofertas"
"Subscribe","Inscrever-se"
"View Cart","Ver Carrinho"
"Home","Home"
"learn more","leia mais"
"Compare Products","Compare"
"Regular Price:","Preço Regular:"
"Special Price:","Preço Especial:"
"Starting at:", "Começando Em:"
"HOT","NOVIDADE"
"SALE","PROMOÇÃO"
"Sign In","Entrar"
"Register","Registrar"
"Back to Login","Voltar à Tela de Login"
"Navigation","Navegação"
"Availability:","Disponibilidade:"
"SKU:","SKU:"
"Qty:","Quantidade"
"You may also be interested in the following product(s)","Você pode estar interessado no(s) seguinte(s) produto(s)"
"%s customer reviews","%s revisões de compradores"
"%s out of 5","%s de 5"
"Review by %s","Revisado por %s"
"(Posted on %s)","(Postado em %s)"
"Average rating","Classificação Média"
"(based on %s reviews)","(baseado em %s revisões)"
"Based on your selection, you may be interested in the following items:","Baseado na sua seleção, você pode estar interessado no(s) seguinte(s) produto(s)"
"Twitter","Twitter"
"Facebook","Facebook"
"Facebook","Facebook"
"Type your email address here", "Digite seu email aqui"
"Mobile", "Celular"
"Complement", "Complemento"
"District", "Bairro"
